LAT,LONG,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
30N,119W,1966,-12,-28,-44,-77,-119,-78,-11,-81,-53,-52,-51,-12
30N,119W,1967,-27,-12,-60,-68,-37,-69,-17,14,-58,-12,-52,4
30N,119W,1968,-24,-47,-24,-25,-48,-42,-41,-34,-25,-27,25,-22
30N,119W,1969,-48,-32,20,44,27,-5,76,60,44,31,-58,16
30N,119W,1970,-29,-64,-20,42,41,39,34,83,29,14,-10,-9
30N,119W,1971,26,87,50,91,41,66,53,5,41,39,74,28
30N,119W,1972,35,11,70,39,-35,-31,-18,-29,-39,-42,2,31
30N,119W,1973,8,-70,62,51,-45,-21,-6,7,-8,-13,28,43
30N,119W,1974,-34,27,-23,93,84,64,4,25,12,1,9,-20
30N,119W,1975,-6,-15,11,33,-13,-2,49,52,51,43,69,4
30N,119W,1976,-12,-13,23,19,31,0,17,3,-59,-23,-11,-26
30N,119W,1977,-18,54,85,28,-18,23,38,35,-24,22,29,-41
30N,119W,1978,-47,-48,-73,0,-9,25,41,0,5,-4,-2,-25
30N,119W,1979,-49,0,-51,82,-31,11,19,34,46,52,25,-16
30N,119W,1980,-36,-60,5,61,39,110,68,-7,57,21,64,8
30N,119W,1981,-27,-20,14,32,16,-13,10,92,44,4,16,65
30N,119W,1982,-5,-6,-65,-6,-7,102,57,74,13,19,-20,23
30N,119W,1983,-27,-6,-18,-41,98,49,104,-2,-32,-20,50,22
30N,119W,1984,44,62,46,85,91,94,14,-16,-22,55,9,-37
30N,119W,1985,-29,-16,28,29,12,-32,9,4,-52,-8,-6,-10
30N,119W,1986,-25,-19,-15,-6,-17,26,11,5,27,-11,-20,-13
30N,119W,1987,25,-16,-21,4,-38,-48,91,1,27,-66,-2,-15
30N,119W,1988,-17,-50,29,-58,19,9,-15,37,2,-4,48,11
30N,119W,1989,21,-17,34,-2,47,3,62,25,12,-30,-6,-24
30N,119W,1990,-21,17,36,-9,50,7,-36,8,9,-17,26,-12
30N,119W,1991,-24,-25,-36,88,87,-27,24,26,54,11,44,-33
30N,119W,1992,-12,-70,-83,16,-64,-34,-56,-11,-6,-19,23,-8
30N,119W,1993,-42,-65,-12,138,-76,-38,-32,-32,-13,-33,-28,-1
30N,119W,1994,11,-52,-40,48,-59,22,32,4,4,28,34,2
30N,119W,1995,-46,-35,-40,48,-88,-8,-20,20,28,2,-6,25
30N,119W,1996,45,-31,-3,38,15,-20,-24,-32,-12,60,45,-22
30N,119W,1997,10,133,11,89,-75,-41,-35,-38,-20,10,-8,0
30N,119W,1998,8,0,6,2,-105,-62,-5,-22,0,63,65,68
30N,119W,1999,66,66,10,50,26,-1,20,63,3,23,-18,13
30N,119W,2000,3,-65,10,19,-13,-85,34,-38,-37,-15,22,-13
30N,119W,2001,4,-43,-25,46,-107,-70,-19,-3,-12,-27,18,28
30N,119W,2002,31,-5,-6,-40,-11,-27,-64,-20,-30,0,-14,-8
30N,119W,2003,-18,-43,28,-29,-41,-52,-35,30,8,-6,-15,-25
30N,119W,2004,23,-14,30,14,4,-7,-16,-34,-42,-31,29,-26
30N,119W,2005,-32,-58,-9,58,7,43,-14,-39,51,49,34,17
30N,119W,2006,57,6,-3,-53,-36,-21,-44,3,20,26,108,68
